year,name,total_pop,total_hisc_pop,total_dominican_pop,state
2008-01-01,Georgia,9685744.0,9685744.0,16356.0,13
2008-01-01,Hawaii,1288198.0,1288198.0,520.0,15
2008-01-01,Idaho,1523816.0,1523816.0,177.0,16
2008-01-01,Illinois,12901564.0,12901564.0,6036.0,17
2008-01-01,Indiana,6376792.0,6376792.0,1493.0,18
2008-01-01,Iowa,3002557.0,3002557.0,96.0,19
2008-01-01,Kansas,2802134.0,2802134.0,76.0,20
2008-01-01,Kentucky,4269245.0,4269245.0,511.0,21
2008-01-01,Louisiana,4410796.0,4410796.0,2568.0,22
2008-01-01,Maine,1316456.0,,,23
2008-01-01,Maryland,5633597.0,5633597.0,12798.0,24
2008-01-01,Massachusetts,6497967.0,6497967.0,96577.0,25
2008-01-01,Michigan,10003422.0,10003422.0,3307.0,26
2008-01-01,Minnesota,5220393.0,5220393.0,314.0,27
2008-01-01,Mississippi,2938618.0,2938618.0,543.0,28
2008-01-01,Missouri,5911605.0,5911605.0,726.0,29
2008-01-01,Montana,967440.0,,,30
2008-01-01,Nebraska,1783432.0,1783432.0,202.0,31
2008-01-01,Nevada,2600167.0,2600167.0,3522.0,32
2008-01-01,New Hampshire,1315809.0,1315809.0,3006.0,33
2008-01-01,New Jersey,8682661.0,8682661.0,176994.0,34
2008-01-01,New Mexico,1984356.0,1984356.0,171.0,35
2008-01-01,New York,19490297.0,19490297.0,678881.0,36
2008-01-01,North Carolina,9222414.0,9222414.0,12693.0,37
2008-01-01,North Dakota,641481.0,,,38
2008-01-01,Ohio,11485910.0,11485910.0,5593.0,39
2008-01-01,Oklahoma,3642361.0,3642361.0,723.0,40
2008-01-01,Oregon,3790060.0,3790060.0,597.0,41
2008-01-01,Pennsylvania,12448279.0,12448279.0,47653.0,42
2008-01-01,Rhode Island,1050788.0,1050788.0,30360.0,44
2008-01-01,South Carolina,4479800.0,4479800.0,1556.0,45
2008-01-01,South Dakota,804194.0,,,46
2008-01-01,Tennessee,6214888.0,6214888.0,464.0,47
2008-01-01,Texas,24326974.0,24326974.0,14235.0,48
2008-01-01,Utah,2736424.0,2736424.0,1012.0,49
2008-01-01,Vermont,621270.0,,,50
2008-01-01,Virginia,7769089.0,7769089.0,9433.0,51
2008-01-01,Washington,6549224.0,6549224.0,840.0,53
2008-01-01,West Virginia,1814468.0,,,54
2008-01-01,Wisconsin,5627968.0,5627968.0,939.0,55
2008-01-01,Wyoming,532668.0,,,56
2008-01-01,Puerto Rico,3954037.0,3954037.0,72157.0,72
2009-01-01,Alabama,4708708.0,4708708.0,616.0,01
2009-01-01,Alaska,698473.0,698473.0,3351.0,02
2009-01-01,Arizona,6595778.0,6595778.0,3980.0,04
2009-01-01,Arkansas,2889450.0,2889450.0,537.0,05
2009-01-01,California,36961664.0,36961664.0,10327.0,06
2009-01-01,Colorado,5024748.0,5024748.0,737.0,08
2009-01-01,Connecticut,3518288.0,3518288.0,27686.0,09
2009-01-01,Delaware,885122.0,,,10
2009-01-01,District of Columbia,599657.0,599657.0,1161.0,11
2009-01-01,Florida,18537969.0,18537969.0,160683.0,12
2009-01-01,Georgia,9829211.0,9829211.0,15949.0,13
2009-01-01,Hawaii,1295178.0,,,15
2009-01-01,Idaho,1545801.0,1545801.0,126.0,16
2009-01-01,Illinois,12910409.0,12910409.0,7546.0,17
2009-01-01,Indiana,6423113.0,6423113.0,2188.0,18
2009-01-01,Iowa,3007857.0,3007857.0,735.0,19
2009-01-01,Kansas,2818747.0,2818747.0,202.0,20
2009-01-01,Kentucky,4314113.0,4314113.0,184.0,21
2009-01-01,Louisiana,4492076.0,4492076.0,2757.0,22
2009-01-01,Maine,1318301.0,,,23
2009-01-01,Maryland,5699478.0,5699478.0,11256.0,24
2009-01-01,Massachusetts,6593587.0,6593587.0,105610.0,25
2009-01-01,Michigan,9969727.0,9969727.0,2689.0,26
2009-01-01,Minnesota,5266215.0,5266215.0,720.0,27
2009-01-01,Mississippi,2951996.0,2951996.0,719.0,28
2009-01-01,Missouri,5987580.0,5987580.0,1772.0,29
2009-01-01,Montana,974989.0,,,30
2009-01-01,Nebraska,1796622.0,,,31
2009-01-01,Nevada,2643085.0,2643085.0,2634.0,32
2009-01-01,New Hampshire,1324575.0,,,33
2009-01-01,New Jersey,8707740.0,8707740.0,168229.0,34
2009-01-01,New Mexico,2009671.0,2009671.0,971.0,35
2009-01-01,New York,19541453.0,19541453.0,672145.0,36
2009-01-01,North Carolina,9380884.0,9380884.0,12961.0,37
2009-01-01,North Dakota,646844.0,,,38
2009-01-01,Ohio,11542645.0,11542645.0,4977.0,39
2009-01-01,Oklahoma,3687050.0,3687050.0,611.0,40
2009-01-01,Oregon,3825657.0,3825657.0,819.0,41
2009-01-01,Pennsylvania,12604767.0,12604767.0,55440.0,42
2009-01-01,Rhode Island,1053209.0,1053209.0,41368.0,44
2009-01-01,South Carolina,4561242.0,4561242.0,1236.0,45
2009-01-01,South Dakota,812383.0,,,46
2009-01-01,Tennessee,6296254.0,6296254.0,2028.0,47
2009-01-01,Texas,24782302.0,24782302.0,12807.0,48
2009-01-01,Utah,2784572.0,2784572.0,672.0,49
2009-01-01,Vermont,621760.0,,,50
2009-01-01,Virginia,7882590.0,7882590.0,8311.0,51
2009-01-01,Washington,6664195.0,6664195.0,1353.0,53
2009-01-01,West Virginia,1819777.0,,,54
2009-01-01,Wisconsin,5654774.0,5654774.0,1136.0,55
2009-01-01,Wyoming,544270.0,,,56
2009-01-01,Puerto Rico,3967288.0,3967288.0,68370.0,72
2010-01-01,Alabama,4785298.0,4785298.0,600.0,01
2010-01-01,Alaska,713985.0,,,02
2010-01-01,Arizona,6413737.0,6413737.0,2693.0,04
2010-01-01,Arkansas,2921606.0,2921606.0,153.0,05
2010-01-01,California,37349363.0,37349363.0,11079.0,06
2010-01-01,Colorado,5049071.0,5049071.0,1869.0,08
2010-01-01,Connecticut,3577073.0,3577073.0,28242.0,09
2010-01-01,Delaware,899769.0,899769.0,1452.0,10
2010-01-01,District of Columbia,604453.0,604453.0,2649.0,11
